scraped_at,carpark_id,guest_available,guest_display,guest_total,is_capped,monthly_available,monthly_total,total_available,total_capacity,last_update
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000012a,10,10+,152,1,1,1,11,153,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000d8,10,10+,106,1,58,58,68,164,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000ff,10,10+,137,1,6,6,16,143,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000119,10,10+,120,1,30,30,40,150,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000103,10,10+,511,1,31,31,41,542,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000f8,10,10+,59,1,11,11,21,70,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000121,10,10+,305,1,30,30,40,335,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000010a,10,10+,133,1,12,12,22,145,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000007d,10,10+,334,1,558,558,568,892,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000124,10,10+,137,1,0,0,10,137,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000011d,10,10+,108,1,15,15,25,123,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000102,10,10+,270,1,19,19,29,289,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000118,10,10+,857,1,26,26,36,883,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000011c,10,10+,189,1,4,4,14,193,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000122,10,10+,50,1,6,6,16,56,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000011e,10,10+,316,1,10,10,20,326,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000dc,10,10+,107,1,0,0,10,107,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000019e,0,0,22,0,0,0,0,22,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000196,10,10+,52,1,6,6,16,58,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000f4,10,10+,79,1,6,6,16,85,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000d7,10,10+,215,1,5,5,15,220,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000019d,10,10+,32,1,3,3,13,35,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-0000000000c2,10,10+,170,1,0,0,10,170,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000129,10,10+,320,1,0,0,10,320,2026-01-29T00:52:25Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000128,10,10+,130,1,0,0,10,130,2026-01-29T00:52:31Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000127,10,10+,180,1,0,0,10,180,2026-01-29T00:52:37Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-000000000191,10,10+,51,1,2,2,12,53,2026-01-29T00:52:50Z
2026-01-29T00:53:28.433313+00:00,00000000-0000-0000-00000000001b,10,10+,114,1,2,2,12,116,2026-01-29T00:52:50Z
